dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20191004,000100,0,11.37,0.38,0,0,93.8,0.26,0,0,0.5,24,135,0,0,0,0,0,0,0,0,0
20191004,000200,0,11.73,0.39,0,0,96.79,0.27,0,0,0.49,24.06,135,0,0,0,0,0,0,0,0,0
20191004,000300,0,12.27,0.41,0,0,101.25,0.28,0,0,0.46,24.12,135,0,0,0,0,0,0,0,0,0
20191004,000400,0,12.02,0.4,0,0,99.16,0.27,0,0,0.45,24.06,135,0,0,0,0,0,0,0,0,0
20191004,000500,0,10.96,0.36,0,0,90.4,0.25,0,0,0.5,24,135,0,0,0,0,0,0,0,0,0
20191004,000600,0,12.07,0.4,0,0,99.56,0.27,0,0,0.48,24,135,0,0,0,0,0,0,0,0,0
20191004,000700,0,11.27,0.37,0,0,92.94,0.26,0,0,0.5,23.81,135,0,0,0,0,0,0,0,0,0
20191004,000800,0,11.96,0.4,0,0,98.64,0.27,0,0,0.49,23.75,135,0,0,0,0,0,0,0,0,0
20191004,000900,0,11.85,0.39,0,0,97.73,0.27,0,0,0.49,23.81,135,0,0,0,0,0,0,0,0,0
20191004,001000,0,11.35,0.38,0,0,93.65,0.26,0,0,0.45,23.75,135,0,0,0,0,0,0,0,0,0
20191004,001100,0,11.32,0.38,0,0,93.4,0.26,0,0,0.47,23.75,135,0,0,0,0,0,0,0,0,0
20191004,001200,0,11.12,0.37,0,0,91.71,0.25,0,0,0.47,23.62,135,0,0,0,0,0,0,0,0,0
20191004,001300,0,10.73,0.36,0,0,88.53,0.24,0,0,0.47,23.88,135,0,0,0,0,0,0,0,0,0
20191004,001400,0,11.34,0.38,0,0,93.53,0.26,0,0,0.47,23.94,135,0,0,0,0,0,0,0,0,0
20191004,001500,0,10.23,0.34,0,0,84.38,0.23,0,0,0.48,23.94,135,0,0,0,0,0,0,0,0,0
20191004,001600,0,10.15,0.34,0,0,83.75,0.23,0,0,0.48,23.94,135,0,0,0,0,0,0,0,0,0
20191004,001700,4.56,10.21,0.34,0,0,84.24,0.23,0,0,0.48,23.88,135,0,0,0,0,0,0,0,0,0
20191004,001800,0,11.51,0.38,0,0,94.99,0.26,0,0,0.46,23.81,135,0,0,0,0,0,0,0,0,0
20191004,001900,0,10.13,0.34,0,0,83.6,0.23,0,0,0.45,23.94,135,0,0,0,0,0,0,0,0,0
20191004,002000,0,11.07,0.37,0,0,91.36,0.25,0,0,0.48,23.69,135,0,0,0,0,0,0,0,0,0
20191004,002100,0,10.09,0.34,0,0,83.22,0.23,0,0,0.51,23.62,135,5.32,0,0,0,0,0,0,0,0
20191004,002200,0,11.27,0.38,0,0,93,0.26,0,0,0.48,23.44,135,2.66,0,0,0,0,0,0,0,0
20191004,002300,0,10.3,0.34,0,0,85.01,0.23,0,0,0.47,23.38,135,2.66,0,0,0,0,0,0,0,0
20191004,002400,0,10.29,0.34,0,0,84.9,0.23,0,0,0.49,23.38,90,2.66,0,0,0,0,0,0,0,0
20191004,002500,2.58,9.39,0.31,0,0,77.47,0.21,0,0,0.5,23.5,90,2.66,0,0,0,0,0,0,0,0
20191004,002600,0,10.21,0.34,0,0,84.25,0.23,0,0,0.5,23.56,90,0,0,0,0,0,0,0,0,0
20191004,002700,0,8.49,0.28,0,0,70.05,0.19,0,0,0.48,24.19,135,2.66,0,0,0,0,0,0,0,0
20191004,002800,0,8.24,0.27,0,0,68.02,0.19,0,0,0.47,24.19,135,3.99,0,0,0,0,0,0,0,0
20191004,002900,0,8.77,0.29,0,0,72.38,0.2,0,0,0.49,24.31,135,1.33,0,0,0,0,0,0,0,0
20191004,003000,0,8.77,0.29,0,0,72.39,0.2,0,0,0.5,24,135,0,0,0,0,0,0,0,0,0
20191004,003100,2.58,8.48,0.28,0,0,69.98,0.19,0,0,0.49,24,135,0,0,0,0,0,0,0,0,0
20191004,003200,0,8.65,0.29,0,0,71.33,0.2,0,0,0.48,24,135,0,0,0,0,0,0,0,0,0
20191004,003300,0,8.72,0.29,0,0,71.91,0.2,0,0,0.48,24.06,135,0,0,0,0,0,0,0,0,0
20191004,003400,2.58,8.77,0.29,0,0,72.38,0.2,0,0,0.49,23.94,135,0,0,0,0,0,0,0,0,0
20191004,003500,0,8.68,0.29,0,0,71.65,0.2,0,0,0.49,24,135,0,0,0,0,0,0,0,0,0
20191004,003600,0,9.59,0.32,0,0,79.13,0.22,0,0,0.48,24,135,0,0,0,0,0,0,0,0,0
20191004,003700,0,9.1,0.3,0,0,75.06,0.21,0,0,0.48,23.94,135,0,0,0,0,0,0,0,0,0
20191004,003800,0,9.63,0.32,0,0,79.47,0.22,0,0,0.47,23.81,135,0,0,0,0,0,0,0,0,0
20191004,003900,0,8.45,0.28,0,0,69.73,0.19,0,0,0.48,23.62,135,0,0,0,0,0,0,0,0,0
20191004,004000,0,8.41,0.28,0,0,69.4,0.19,0,0,0.48,23.75,135,0,0,0,0,0,0,0,0,0
20191004,004100,0,8.78,0.29,0,0,72.42,0.2,0,0,0.49,23.94,135,0,0,0,0,0,0,0,0,0
20191004,004200,0,8.62,0.29,0,0,71.13,0.2,0,0,0.48,23.94,135,0,0,0,0,0,0,0,0,0
20191004,004300,0,8.27,0.28,0,0,68.24,0.19,0,0,0.49,24,135,0,0,0,0,0,0,0,0,0
20191004,004400,0.6,7.62,0.25,0,0,62.83,0.17,0,0,0.47,24,135,0,0,0,0,0,0,0,0,0
20191004,004500,0,8.16,0.27,0,0,67.34,0.19,0,0,0.45,24.06,135,0,0,0,0,0,0,0,0,0
20191004,004600,0,8.79,0.29,0,0,72.55,0.2,0,0,0.46,24,135,0,0,0,0,0,0,0,0,0
20191004,004700,0,7.37,0.25,0,0,60.77,0.17,0,0,0.46,23.81,135,0,0,0,0,0,0,0,0,0
20191004,004800,0,7.49,0.25,0,0,61.75,0.17,0,0,0.46,23.62,135,0,0,0,0,0,0,0,0,0
20191004,004900,0,7.41,0.25,0,0,61.17,0.17,0,0,0.45,23.62,135,0,0,0,0,0,0,0,0,0
20191004,005000,0,7.6,0.25,0,0,62.74,0.17,0,0,0.48,23.5,135,0,0,0,0,0,0,0,0,0
20191004,005100,0,7.52,0.25,0,0,62.01,0.17,0,0,0.47,23.25,135,0,0,0,0,0,0,0,0,0
20191004,005200,0,6.9,0.23,0,0,56.95,0.16,0,0,0.47,23.38,135,0,0,0,0,0,0,0,0,0
20191004,005300,0,8.15,0.27,0,0,67.28,0.18,0,0,0.49,23.31,135,0,0,0,0,0,0,0,0,0
20191004,005400,0,7.43,0.25,0,0,61.32,0.17,0,0,0.46,23.38,135,0,0,0,0,0,0,0,0,0
20191004,005500,4.56,7.69,0.26,0,0,63.45,0.17,0,0,0.45,23.25,135,0,0,0,0,0,0,0,0,0
20191004,005600,0,8.05,0.27,0,0,66.4,0.18,0,0,0.46,23.56,135,0,0,0,0,0,0,0,0,0
20191004,005700,0,8.15,0.27,0,0,67.21,0.18,0,0,0.46,23.69,135,0,0,0,0,0,0,0,0,0
20191004,005800,0,7.63,0.25,0,0,62.93,0.17,0,0,0.47,23.62,135,0,0,0,0,0,0,0,0,0
20191004,005900,0,7.04,0.23,0,0,58.08,0.16,0,0,0.49,23.5,135,0,0,0,0,0,0,0,0,0
20191004,010000,6.54,7.19,0.24,0,0,59.31,0.16,0,0,0.48,23.44,135,0,0,0,0,0,0,0,0,0
